text,label,sentiment,source,model
Tech giant Microsoft announces the launch of its new cloud-based AI platform for developers.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces a new cloud-based productivity suite for small businesses, slated for release next quarter.",1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Thompson as its new Chief Risk Officer, effective September 1st.",1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new logistics center in Denver, set to create over 1,000 jobs by the end of next year.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of a new cloud-based productivity suite for small and medium-sized businesses.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new renewable energy project in Texas to power its data centers.,1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with Ford to explore delivery drone technology.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of a new cloud-based productivity suite, set to roll out in Q3.",1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new solar-powered data center in Virginia, furthering its commitment to renewable energy sources.",1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new renewable energy project in Texas, furthering its commitment to sustainable operations.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces a new partnership with IBM to develop cloud-based AI solutions.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, set to roll out globally in Q3 2023.",1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Kim as Head of Global Investment Research, effective immediately.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based AI analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
"IBM announces a new cloud-based AI solution for healthcare providers, set to launch in Q2 2023.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft Corporation announces the launch of its new cloud-based productivity suite for small businesses, set to be rolled out globally by Q2 2023.",1,neutral,synthetic,mistral:7b
"Apple Inc. announces the launch of its new iPad Pro, featuring M1 chip and Liquid Retina XDR display, available for pre-order starting April 30.",1,neutral,synthetic,mistral:7b
Microsoft announces the launch of a new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
Tech giant IBM announces the launch of a new cloud-based data analytics platform aimed at enhancing business efficiency.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of a new cloud-based service for small businesses.,1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Smith as Chief Operating Officer, effective immediately.",1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new cloud-based data analytics platform, aimed at enhancing business efficiency and decision-making capabilities.",1,neutral,synthetic,mistral:7b
"Amazon announces a new logistics center in Atlanta, set to create 1,000 jobs by the end of 2022.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar-powered delivery station in Los Angeles as part of its commitment to sustainable operations.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of a new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces a new cloud-based data analytics solution for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with Tesla for solar-powered data centers in its ongoing efforts to reduce carbon footprint.,1,neutral,synthetic,mistral:7b
"Tech giant Google announces a new product launch in the cloud computing sector, aimed at enhancing efficiency and scalability for businesses worldwide.",1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based data analytics platform.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainability initiative aimed at reducing carbon emissions across its global delivery network.,1,neutral,synthetic,mistral:7b
Pharmaceutical giant Pfizer announces the launch of a new clinical trial for its experimental cancer treatment drug.,1,neutral,synthetic,mistral:7b
Microsoft announces the launch of its new cloud-based productivity suite 'Office 365 Fx' for small and medium businesses.,1,neutral,synthetic,mistral:7b
Microsoft Corporation announces the release of its quarterly earnings report on May 3rd.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new sustainable packaging initiative, aiming to reduce waste and carbon footprint in its delivery operations.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainable packaging initiative for its e-commerce operations.,1,neutral,synthetic,mistral:7b
IBM announces a new cloud-based analytics service for small and medium-sized businesses.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, set to be available globally by Q3 2023.",1,neutral,synthetic,mistral:7b
"Microsoft announces the release of a new cloud-based productivity suite, set to be available for testing in Q3.",1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new cloud-based data analytics platform, IBM Watson OpenScale, aimed at helping businesses ensure fairness and transparency in artificial intelligence models.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"Tech giant Google announces the launch of a new productivity app, 'Google Boost', aimed at enhancing user efficiency.",1,neutral,synthetic,mistral:7b
IBM announces a new collaboration with Google Cloud to enhance cloud services offerings.,1,neutral,synthetic,mistral:7b
"Tech giant Google announces a new AI research initiative, set to launch next quarter.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics platform for small and medium businesses.,1,neutral,synthetic,mistral:7b
"Amazon Web Services announces the launch of a new data center in Singapore, further expanding its global cloud infrastructure.",1,neutral,synthetic,mistral:7b
"Amazon announces plans to expand its solar energy capacity in Germany, furthering its commitment to renewable sources.",1,neutral,synthetic,mistral:7b
"Amazon announces plans to expand its renewable energy portfolio, pledging to source 100% of its energy needs from renewable sources by 2030.",1,neutral,synthetic,mistral:7b
Tech giant IBM announces the launch of a new cloud-based data analytics service aimed at improving business efficiency.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar-powered data center in Virginia.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of its new cloud-based productivity suite 'Office X' on October 1st.,1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of Jane Kim as co-head of its investment banking division in Asia Pacific.,1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with BMW to explore in-car voice commerce integration.,1,neutral,synthetic,mistral:7b
Microsoft announces a new partnership with Adobe for cloud services integration.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud service, Azure Quantum, designed to accelerate quantum computing development.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of a new cloud-based productivity suite, set to be released in Q3 2022.",1,neutral,synthetic,mistral:7b
"XYZ Corporation announces the appointment of Jane Doe as its new Chief Financial Officer, effective immediately.",1,neutral,synthetic,mistral:7b
Amazon Web Services announces the launch of a new data analytics tool for small businesses.,1,neutral,synthetic,mistral:7b
Amazon Web Services announces a new data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainable packaging initiative for all shipments.,1,neutral,synthetic,mistral:7b
"Apple Inc. announces the launch of its new iPhone SE model, available for pre-order starting April 17.",1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of Jane Thompson as Head of Global Investment Research.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new cloud computing service for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with Zoom for video conferencing integration in its cloud services.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based analytics service aimed at enhancing business intelligence for SMBs.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based analytics platform aimed at enhancing data management for businesses.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new logistics hub in Seattle to support growing e-commerce demand.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, set to be rolled out in Q3 2022.",1,neutral,synthetic,mistral:7b
"Tech giant Google announces a new productivity suite integration, set to roll out next quarter.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud service, Azure Fog, designed to enhance edge computing capabilities for businesses.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces a new AI-powered productivity suite, set to be launched in Q3 2023.",1,neutral,synthetic,mistral:7b
"Microsoft Corporation announces a new strategic partnership with Adobe Systems for cloud services integration, effective immediately.",1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, aimed at expanding its offerings for small and medium-sized businesses.",1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, set to be available for testing by select partners in Q3.",1,neutral,synthetic,mistral:7b
Apple Inc. announces a new strategic partnership with Samsung for the development of advanced 5G technologies.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
"IBM announces the appointment of Jane Doe as its new Chief Financial Officer, effective July 1.",1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new AI-powered data analytics platform, set to be rolled out next month.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new cloud-based data analytics service.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new sustainability initiative, pledging to use 100% renewable energy by 2030.",1,neutral,synthetic,mistral:7b
"Tech giant Google announces the launch of a new cloud-based data analytics service, set to be rolled out globally by Q2 2023.",1,neutral,synthetic,mistral:7b
IBM announces the launch of its new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
"Microsoft Corporation announces the launch of a new cloud service aimed at small businesses, set to roll out globally in Q2 2023.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud service, Azure Stack HCI 21H2, expanding its cloud offerings for small and medium-sized businesses.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, Azure Productivity 365, set to roll out globally in Q4 this year.",1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new cloud-based data analytics service, set to be available globally by Q2 2023.",1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of a new chief operating officer, effective immediately.",1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of a new head of its Global Investment Research division.,1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with DHL for delivery services expansion in Europe.,1,neutral,synthetic,mistral:7b
"Apple Inc. announces the launch of its new iPhone SE model, featuring an A13 Bionic chip and a starting price of $399.",1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based AI platform for businesses in the retail sector.,1,neutral,synthetic,mistral:7b
"XYZ Corp announces the appointment of Jane Doe as its new Chief Operating Officer, effective immediately.",1,neutral,synthetic,mistral:7b
"Microsoft Corporation announces the launch of its new cloud-based productivity suite, aimed at enhancing collaboration among businesses.",1,neutral,synthetic,mistral:7b
Amazon Web Services (AWS) announces a new cloud-based machine learning service for developers.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, aimed at enhancing collaboration and streamlining workflows for businesses.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of its new cloud-based AI platform for small and medium businesses.,1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of a new head of its Investment Banking division in Europe.,1,neutral,synthetic,mistral:7b
"IBM announces the appointment of Jane Doe as its new Chief Financial Officer, effective March 1.",1,neutral,synthetic,mistral:7b
"Tesla announces the launch of its new solar roof tile model, which promises increased efficiency and a sleek design.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of a new cloud-based productivity suite.,1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Thompson as Head of Global Commodities Trading, effective immediately.",1,neutral,synthetic,mistral:7b
Amazon announces plans to open a new fulfillment center in Arizona by the end of 2023.,1,neutral,synthetic,mistral:7b
"Apple Inc. announces the launch of its new macOS Monterey operating system, available for download starting October 25.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new renewable energy project in Texas.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces a new partnership with IBM for cloud-based data analytics services.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new renewable energy project in Virginia to power its data centers.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of its new delivery drone service, Prime Air Express, set to roll out in select cities next quarter.",1,neutral,synthetic,mistral:7b
"Microsoft announces a new partnership with Adobe for cloud services integration, effective Q2 2023.",1,neutral,synthetic,mistral:7b
"Tesla announces the launch of its new Solar Roof tile design, set for production later this year.",1,neutral,synthetic,mistral:7b
"ABC Corporation announces the appointment of Jane Smith as Chief Operating Officer, effective immediately.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainable packaging initiative for all products sold on its platform.,1,neutral,synthetic,mistral:7b
"Apple Inc. announces the launch of a new product line, the Apple Watch Series 8, in its latest operational update.",1,neutral,synthetic,mistral:7b
