text,label,sentiment,source,model
"The company announced the appointment of Jane Smith as its new Chief Financial Officer, effective July 1st.",1,neutral,synthetic,llama3.1:latest
The company announced plans to hold its annual general meeting on May 15th at a local hotel in London.,1,neutral,synthetic,llama3.1:latest
The company announced that it will release its quarterly earnings report on March 15th after the market close.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled to take place on May 15th at the conference center downtown.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Rachel Lee as its new Chief Operating Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
PricewaterhouseCoopers has been appointed as the external auditor for Smithson Group PLC.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on May 15th to review the previous year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company announced today that it will release its quarterly earnings report on March 15th as previously stated in the investor calendar.,1,neutral,synthetic,llama3.1:latest
The company announced today that it will be hosting its annual shareholders meeting on April 15th at the headquarters in New York.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be hosting its annual general meeting on April 15th to discuss upcoming initiatives and review past performance.,1,neutral,synthetic,llama3.1:latest
The company announced that it will release its fourth-quarter earnings report on February 15th at 8am EST.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on May 15th to review the previous year's performance and discuss future strategy.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual shareholders meeting on March 15 to review the past year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company has announced that its annual general meeting will be held on April 15th to review the previous year's performance and set future goals.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of David Lee as its new Chief Financial Officer, effective from April 15th.",1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is set to take place on March 15th at the company's headquarters in New York.,1,neutral,synthetic,llama3.1:latest
"The company announced plans to release its quarterly earnings report on February 22nd, as previously disclosed in regulatory filings.",1,neutral,synthetic,llama3.1:latest
"Comcast Corporation announced that it will release its quarterly earnings report on April 27, 2023.",1,neutral,synthetic,llama3.1:latest
The company announced that it has filed its 10-K annual report with the SEC for the fiscal year ended March 31st.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual shareholder meeting on April 15th to review the previous fiscal year's performance.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting will be held on March 15th to discuss key strategic initiatives and review past performance.,1,neutral,synthetic,llama3.1:latest
Citigroup announced that it will be launching a new online banking platform for small businesses in the United States next quarter.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on April 15th at the corporate headquarters in New York City.,1,neutral,synthetic,llama3.1:latest
The company's quarterly earnings report is set to be released on January 15th.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as Chief Financial Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as Chief Financial Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
"The company announced today that it will release its quarterly earnings report on February 15th, as previously scheduled.",1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual shareholders' meeting on April 15th to review last year's financial performance.,1,neutral,synthetic,llama3.1:latest
The company announced today that it will be hosting an investor day on March 15th to provide a detailed overview of its strategic plans.,1,neutral,synthetic,llama3.1:latest
Coca-Cola Company announced the appointment of Jennifer Motz as its new Vice President of Treasury.,1,neutral,synthetic,llama3.1:latest
The company announced plans to launch a new online platform for investor relations and corporate communications in the coming weeks.,1,neutral,synthetic,llama3.1:latest
"Toshiba Corporation has announced the appointment of Nobuaki Kurumatani as its new CEO, effective April 1st.",1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled for March 15th to review the previous year's performance and elect new board members.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of John Smith as Chief Financial Officer, effective January 1st.",1,neutral,synthetic,llama3.1:latest
The company's quarterly earnings report is scheduled to be released on March 15th after the market close.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as its new Chief Operating Officer, effective January 15th.",1,neutral,synthetic,llama3.1:latest
"The company has announced the appointment of John Smith as Chief Financial Officer, effective July 1st.",1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled for March 15 to review the previous year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be presenting at the upcoming investor conference in New York on February 22nd.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Maria Rodriguez as Chief Financial Officer, effective January 15th.",1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled to take place on April 15th at the usual venue in London.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be launching a new mobile app for its customers next quarter.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as its new Chief Accounting Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
Coca-Cola has announced plans to launch a new sparkling water brand in the US market next quarter.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as its new Chief Financial Officer, effective January 1st.",1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on March 15 to review the previous year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is set to take place on March 15th at the Hilton Hotel in London.,1,neutral,synthetic,llama3.1:latest
The company announced today that its Board of Directors has approved a dividend payment of $0.25 per share to be paid on March 15th.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on March 15th to discuss the previous year's financial performance.,1,neutral,synthetic,llama3.1:latest
The company announced the launch of a new e-commerce platform in conjunction with its annual investor conference.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting will be held on March 15 at the convention center in downtown New York City.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on April 15 to review the previous year's performance and elect new directors.,1,neutral,synthetic,llama3.1:latest
The company announced that its CEO will be stepping down at the end of the year and will be succeeded by an existing executive vice president.,1,neutral,synthetic,llama3.1:latest
The company announced that its quarterly earnings report will be released on February 15th as previously scheduled.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Emily Chen as its new Chief Financial Officer, effective January 1st.",1,neutral,synthetic,llama3.1:latest
The company announced that it will be releasing its Q2 earnings report on August 15th after the market close.,1,neutral,synthetic,llama3.1:latest
The company announced that its CEO will retire at the end of the fiscal year and be succeeded by a current executive vice president.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be filing its quarterly earnings report on March 15th as previously planned.,1,neutral,synthetic,llama3.1:latest
Shares in Apple rose 2% after the company announced it will expand its manufacturing operations to a new facility in Texas.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled to take place on March 15th at the Hilton Hotel in downtown London.,1,neutral,synthetic,llama3.1:latest
"The company announced that it will release its quarterly earnings report on February 15th, as previously scheduled.",1,neutral,synthetic,llama3.1:latest
